Country Name,"Country Code","Series Name","Series Code","Time","Time Code","Value"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2019","YR2019","44386203"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2018","YR2018","44622518"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2017","YR2017","44831135"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2016","YR2016","45004673"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2015","YR2015","45154036"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2014","YR2014","45272155"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2013","YR2013","45489648"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2012","YR2012","45593342"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2011","YR2011","45706086"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2010","YR2010","45870741"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2009","YR2009","46053331"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2008","YR2008","46258189"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2007","YR2007","46509355"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2006","YR2006","46787786"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2005","YR2005","47105171"
Ukraine,"UKR","Population, total","SP.POP.TOTL","1991","YR1991","52000500"
Ukraine,"UKR","Population, total","SP.POP.TOTL","1992","YR1992","52150400"
Ukraine,"UKR","Population, total","SP.POP.TOTL","1993","YR1993","52179200"
Ukraine,"UKR","Population, total","SP.POP.TOTL","1994","YR1994","51921400"
Ukraine,"UKR","Population, total","SP.POP.TOTL","1995","YR1995","51512800"
Ukraine,"UKR","Population, total","SP.POP.TOTL","1996","YR1996","51057800"
Ukraine,"UKR","Population, total","SP.POP.TOTL","1997","YR1997","50594600"
Ukraine,"UKR","Population, total","SP.POP.TOTL","1998","YR1998","50144500"
Ukraine,"UKR","Population, total","SP.POP.TOTL","1999","YR1999","49674000"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2000","YR2000","49176500"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2001","YR2001","48662400"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2002","YR2002","48202470"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2003","YR2003","47812949"
Ukraine,"UKR","Population, total","SP.POP.TOTL","2004","YR2004","47451626"
